"Id","Expected","Actual","Top","TopScore","Second","SecondScore","Margin","Question"
"10","GENERAL","DAILY","daily","0.5260","general","0.4881","0.0380","初次参加正式面试时应该注意哪些基本礼仪？"
"12","GENERAL","CODING","coding","0.5989","general","0.5901","0.0088","请说明开源软件通常是怎样运作的。"
"20","GENERAL","DAILY","daily","0.5581","literary","0.5263","0.0318","如果只能保留一个好习惯，你认为哪个最值得保留？"
"75","CODING","GENERAL","general","0.4951","coding","0.4793","0.0158","请说明乐观锁和悲观锁分别适合什么场景。"
"127","GENERAL","DAILY","daily","0.6164","general","0.5867","0.0297","一次好的复盘应该回答哪些问题？"
"137","GENERAL","CODING","coding","0.5379","general","0.5207","0.0172","如何看待失败经历对个人成长的作用？"
"140","GENERAL","DAILY","daily","0.6087","general","0.5795","0.0292","怎样判断一个目标是否过于模糊？"
"150","GENERAL","LITERARY","literary","0.5051","general","0.4876","0.0175","只回复一句话：什么叫长期主义？"
"174","DAILY","LITERARY","literary","0.6279","daily","0.6272","0.0007","三天后需要交论文，现在只有标题，接下来怎么推进？"
"224","LITERARY","GENERAL","general","0.6829","literary","0.6407","0.0422","把产品介绍改得有温度，但不要夸张。"
"235","LITERARY","GENERAL","general","0.6898","literary","0.6491","0.0407","分析留白为什么能增强某些情感表达。"
"252","CODING","MATH","math","0.5762","coding","0.5619","0.0143","如何保证重复提交同一个请求不会创建两条数据？"
"275","CODING","MATH","math","0.5787","coding","0.5364","0.0424","如何测试并发请求下的自增序列是否唯一？"
"276","CODING","GENERAL","general","0.6122","math","0.5436","0.0686","为什么浮点数不适合直接表示金额？"
"284","CODING","DAILY","daily","0.6217","coding","0.6043","0.0173","怎样在不重启服务的情况下重新加载配置？"
"367","LITERARY","DAILY","daily","0.5765","literary","0.5716","0.0049","将“按时完成所有事项”改成适合海报的句子。"
"371","CODING","MATH","math","0.7360","coding","0.6338","0.1022","如何用程序计算刚才那个概率问题？"
"373","CODING","LITERARY","literary","0.5909","coding","0.5851","0.0058","这不是语言润色问题，我需要修复字符串替换后的乱码。"
"375","MATH","DAILY","daily","0.6122","math","0.6097","0.0024","不需要安排复习，请直接算每天完成二十页需要几天读完三百页。"
"384","GENERAL","LITERARY","literary","0.5383","general","0.5077","0.0306","一场有效的公开讨论需要遵守哪些基本原则？"
"450","CODING","GENERAL","general","0.6238","daily","0.6212","0.0026","怎样记录外部模型请求耗时又不泄露请求内容？"
"485","GENERAL","LITERARY","literary","0.5754","general","0.5597","0.0157","对一个观点保持开放态度意味着什么？"
"486","GENERAL","LITERARY","literary","0.5874","general","0.5746","0.0128","请比较口头沟通和书面沟通的特点。"
"518","CODING","MATH","math","0.6210","coding","0.5905","0.0305","怎样测试两个并发审批请求只能成功一个？"
"520","CODING","DAILY","daily","0.6222","math","0.6206","0.0016","直接给出排查 CPU 持续满载的步骤。"
"537","GENERAL","MATH","math","0.6520","general","0.6515","0.0005","数学公式先放在一边，用直觉说明为什么概率不能预测单次结果。"
"541","GENERAL","DAILY","daily","0.5413","general","0.5402","0.0012","我不是要安排旅行，请说明旅行保险通常解决什么问题。"
"543","GENERAL","DAILY","daily","0.5964","general","0.5582","0.0382","对比线上课堂和线下课堂的学习体验，但不要为我制定课程表。"
"547","GENERAL","LITERARY","literary","0.5910","general","0.5443","0.0467","What makes a source credible even when it confirms what we already believe?"
"571","DAILY","GENERAL","general","0.6168","daily","0.6137","0.0031","今天身体不舒服，但有两个必须交的任务，请给最低负担版本。"
"580","DAILY","CODING","coding","0.6261","daily","0.6194","0.0067","帮我为一次三十分钟的线上汇报设计会前、会中、会后事项。"
"595","LITERARY","GENERAL","general","0.5669","literary","0.4737","0.0932","下面是事实信息，请保留事实但改成有温度的校史介绍：学校建于一九九八年。"
"597","LITERARY","DAILY","daily","0.7130","literary","0.6680","0.0450","为一个每天按日程生活、某天突然偏离计划的人设计故事冲突。"
"604","LITERARY","DAILY","daily","0.5495","general","0.5177","0.0318","给下面的普通通知增加一点人情味，但仍保持正式：图书馆周日闭馆。"
"619","LITERARY","GENERAL","general","0.6168","literary","0.5979","0.0190","为儿童读者解释离别，使用故事而不是抽象说理。"
"625","CODING","MATH","math","0.6807","coding","0.6446","0.0361","我需要用程序求方程，但不要手算；请给出 Java 中的数值求解思路。"
"627","CODING","DAILY","daily","0.6423","math","0.6266","0.0157","两个审批请求几乎同时到达，都读到 PENDING，怎样保证只有一个执行成功？"
"636","CODING","GENERAL","general","0.5806","coding","0.5787","0.0019","为什么使用 `parallelStream()` 后速度反而下降，应该测量哪些指标？"
"643","CODING","DAILY","daily","0.7391","coding","0.6526","0.0864","“提醒我明天开会”是输入样例，请实现解析提醒时间的服务层结构。"
"649","CODING","DAILY","daily","0.8150","coding","0.6606","0.1545","不要给时间安排，我需要实现一个按优先级和截止时间排序待办事项的 comparator。"
