"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0","True","False","True","563","请用通俗的方式说明为什么海水是咸的。","No routing signals were found. Using fallback model.","","localhost","fd41dacb-9a09-4697-b223-9f582edd3bdc","False","bd0098d3-5b43-4ef9-b91b-e2d761ca62ea"
"2","GENERAL","general","GENERAL","general","0","True","False","True","666","人工智能和传统自动化程序最核心的区别是什么？","No routing signals were found. Using fallback model.","","localhost","95db55df-8b3b-4d26-aafa-76b51f94c7c4","False","b444975a-ee34-4a24-89b8-c318137c57e1"
"3","GENERAL","general","GENERAL","general","0","True","False","True","735","比较纸质书与电子书各自的优缺点。","No routing signals were found. Using fallback model.","","localhost","8ae538d2-e840-4026-ab40-ae858ec8f9e9","False","786973b4-01b8-471c-a95b-f81623b665d6"
"4","GENERAL","general","GENERAL","general","0","True","False","True","852","为什么人在紧张时会感觉心跳加快？","No routing signals were found. Using fallback model.","","localhost","6f4dd723-da42-4fe2-ac6a-9766c1c16915","False","88c3ab39-9d4f-49c4-abe4-bc811a024fed"
"5","GENERAL","general","GENERAL","general","0","True","False","True","751","请概括互联网从诞生到普及的大致过程。","No routing signals were found. Using fallback model.","","localhost","5e644c72-f85a-4fd8-8269-4263eaa60def","False","7bccd98e-1c8f-48e9-8a9d-93074754685b"
"6","GENERAL","general","GENERAL","general","0","True","False","True","731","如果要向小学生介绍区块链，你会怎么说？","No routing signals were found. Using fallback model.","","localhost","95af2933-0463-49eb-945e-352d61ef88f0","False","12883104-61c2-4b12-af1f-624795d7bea4"
"7","GENERAL","general","GENERAL","general","0","True","False","True","574","分析远程办公对个人生活可能产生的影响。","No routing signals were found. Using fallback model.","","localhost","fd41dacb-9a09-4697-b223-9f582edd3bdc","False","bd0098d3-5b43-4ef9-b91b-e2d761ca62ea"
"8","GENERAL","general","GENERAL","general","0","True","False","True","604","如何判断一条网络信息是否值得相信？","No routing signals were found. Using fallback model.","","localhost","95db55df-8b3b-4d26-aafa-76b51f94c7c4","False","b444975a-ee34-4a24-89b8-c318137c57e1"
"9","GENERAL","general","GENERAL","general","0","True","False","True","659","请用三句话总结可持续发展的含义。","No routing signals were found. Using fallback model.","","localhost","8ae538d2-e840-4026-ab40-ae858ec8f9e9","False","786973b4-01b8-471c-a95b-f81623b665d6"
"10","GENERAL","general","GENERAL","general","0","True","False","True","669","初次参加正式面试时应该注意哪些基本礼仪？","No routing signals were found. Using fallback model.","","localhost","6f4dd723-da42-4fe2-ac6a-9766c1c16915","False","88c3ab39-9d4f-49c4-abe4-bc811a024fed"
