"Id","ConversationId","SeedExpectedTask","SeedActualTask","SeedPassed","FollowupExpectedTask","FollowupActualTask","FollowupModel","FollowupPassed","FollowupConfidence","FollowupReason","SeedQuestion","FollowupQuestion","Error"
"C21","20260716-211137950-0000000053","CODING","CODING","True","CODING","CODING","coding","True","0.74","Context-aware router inherited CODING from the previous turn; followupScore=0.74, semanticRoute=followup.","分析一个线程安全问题。","再给一个更简单的修复方法。",""
"C22","20260716-211149947-0000000054","CODING","CODING","True","CODING","CODING","coding","True","0.72","Context-aware router inherited CODING from the previous turn; followupScore=0.72, semanticRoute=followup.","设计一个文件上传接口。","把上面的设计压缩成三点。",""
"C23","20260716-211157762-0000000055","CODING","CODING","True","DAILY","DAILY","general","True","0.78","Semantic router selected DAILY with score 0.78, margin 0.03 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","解释事务为什么会回滚。","现在换个话题，安排我今晚的复习。",""
"C24","20260716-211210460-0000000056","CODING","CODING","True","GENERAL","CODING","coding","False","0.67","Context-aware router inherited CODING from the previous turn; followupScore=0.67, semanticRoute=followup.","排查数据库查询变慢。","不继续技术问题了，为什么人容易拖延？",""
"C25","20260716-211222597-0000000057","CODING","CODING","True","LITERARY","LITERARY","literary","True","0.78","Semantic router selected LITERARY with score 0.77, margin 0.05 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","实现一个待办事项接口。","把这个主题写成一句幽默文案。",""
"C26","20260716-211231280-0000000058","CODING","MATH","False","MATH","MATH","math","True","0.81","Semantic router selected MATH with score 0.76, margin 0.15 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","解释接口每秒处理数量。","不要写代码，按每秒八十次计算五分钟总量。",""
"C27","20260716-211244655-0000000059","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.77","Semantic router selected LITERARY with score 0.73, margin 0.06 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","写一段关于旧车站的故事。","让语气更含蓄。",""
"C28","20260716-211257951-0000000060","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.82","Context-aware router inherited LITERARY from the previous turn; followupScore=0.82, semanticRoute=followup.","分析一个人物的矛盾性格。","继续分析刚才那个细节。",""
"C29","20260716-211312858-0000000061","LITERARY","LITERARY","True","CODING","CODING","coding","True","0.79","Semantic router selected CODING with score 0.73, margin 0.1 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","把普通通知改成宣传文案。","现在设计存储这些文案的数据库表。",""
"C30","20260716-211316178-0000000062","LITERARY","LITERARY","True","GENERAL","DAILY","general","False","0.75","Semantic router selected DAILY with score 0.7, margin 0.04 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","写一首关于时间的诗。","不再创作，请解释时间管理为什么困难。",""
"C31","","LITERARY","ERROR","False","DAILY","ERROR","ERROR","False","0","","构思一个侦探故事。","帮我安排今晚写完它的步骤。","The remote server returned an error: (502) Bad Gateway."
"C32","20260716-211408327-0000000064","LITERARY","LITERARY","True","MATH","LITERARY","literary","False","0.7","Semantic router selected LITERARY with score 0.55, margin 0.03 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","写一段关于数字的散文。","其中提到三个人两两交谈，一共有几组？",""
"C33","20260716-211421904-0000000065","MATH","MATH","True","MATH","MATH","math","True","0.79","Context-aware router inherited MATH from the previous turn; followupScore=0.79, semanticRoute=followup.","求一个二次方程的根。","把推导过程再精简一点。",""
"C34","20260716-211428129-0000000066","MATH","MATH","True","MATH","MATH","math","True","0.75","Context-aware router inherited MATH from the previous turn; followupScore=0.75, semanticRoute=followup.","计算连续重试的成功概率。","为什么要这样算？",""
"C35","20260716-211435329-0000000067","MATH","MATH","True","CODING","MATH","math","False","0.78","Semantic router selected MATH with score 0.76, margin 0.06 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","求一组数据的平均数。","请写 Java 函数自动完成这个计算。",""
"C36","20260716-211438265-0000000068","MATH","MATH","True","DAILY","MATH","math","False","0.73","Context-aware router inherited MATH from the previous turn; followupScore=0.73, semanticRoute=followup.","计算未来七天每天应读多少页。","好的，按这个结果安排每天阅读时间。",""
"C37","20260716-211441697-0000000069","MATH","MATH","True","GENERAL","MATH","math","False","0.68","Context-aware router inherited MATH from the previous turn; followupScore=0.68, semanticRoute=followup.","求两个方案的成本差额。","不继续算了，请客观解释机会成本。",""
"C38","20260716-211445250-0000000070","MATH","MATH","True","LITERARY","LITERARY","literary","True","0.74","Semantic router selected LITERARY with score 0.67, margin 0.02 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","计算抛硬币的概率。","用这个结果写一句关于选择的诗。",""
"C39","20260716-211454155-0000000071","DAILY","DAILY","True","DAILY","DAILY","general","True","0.79","Semantic router selected DAILY with score 0.78, margin 0.06 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","安排我明天的学习和运动。","再轻松一点。",""
"C40","20260716-211507873-0000000072","DAILY","DAILY","True","CODING","DAILY","general","False","0.75","Semantic router selected DAILY with score 0.71, margin 0.01 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","列一份旅行前检查清单。","把清单做成后端 JSON 数据结构。",""
"C41","20260716-211523113-0000000073","DAILY","DAILY","True","GENERAL","DAILY","general","False","0.62","Context-aware router inherited DAILY from the previous turn; followupScore=0.62, semanticRoute=followup.","安排一周的阅读任务。","不要日程了，评价长期阅读的价值。",""
"C42","20260716-211537454-0000000074","DAILY","DAILY","True","LITERARY","LITERARY","literary","True","0.75","Semantic router selected LITERARY with score 0.67, margin 0.06 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","把写作和复习排进今晚。","以忙碌的今晚为题写两句短诗。",""
"C43","20260716-211551394-0000000075","DAILY","DAILY","True","MATH","DAILY","general","False","0.74","Semantic router selected DAILY with score 0.65, margin 0.03 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","安排每天处理一百条记录。","一周总共能处理多少条？",""
"C44","20260716-211601730-0000000076","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.68","Context-aware router inherited GENERAL from the previous turn; followupScore=0.68, semanticRoute=general.","解释为什么人会产生怀旧情绪。","用一个更生活化的例子说明。",""
"C45","20260716-211611640-0000000077","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.76","Context-aware router inherited GENERAL from the previous turn; followupScore=0.76, semanticRoute=followup.","介绍开源软件的基本理念。","继续，但控制在两句话。",""
"C46","20260716-211617679-0000000078","GENERAL","GENERAL","True","CODING","CODING","coding","True","0.8","Semantic router selected CODING with score 0.71, margin 0.17 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","解释什么是隐私。","设计一个保护隐私的用户接口。",""
"C47","20260716-211628304-0000000079","GENERAL","DAILY","False","DAILY","DAILY","general","True","0.8","Semantic router selected DAILY with score 0.75, margin 0.12 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","说明规律作息的价值。","根据这些原则安排我的睡前流程。",""
"C48","20260716-211640551-0000000080","GENERAL","LITERARY","False","LITERARY","LITERARY","literary","True","0.82","Semantic router selected LITERARY with score 0.78, margin 0.16 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","介绍城市雨夜的特点。","把它写成有氛围感的场景。",""
"C49","20260716-211655298-0000000081","GENERAL","GENERAL","True","MATH","MATH","math","True","0.74","Semantic router selected MATH with score 0.63, margin 0.08 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","解释成功率是什么意思。","若成功率八成，独立尝试两次都失败的概率是多少？",""
"C50","20260716-211702808-0000000082","CODING","CODING","True","CODING","CODING","coding","True","0.66","Context-aware router inherited CODING from the previous turn; followupScore=0.66, semanticRoute=followup.","分析一个 Java 服务的异常。","继续刚才的排查，但忽略后面引用的“写诗”两个字。",""
