"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.79","False","True","True","955","请用通俗的方式说明为什么海水是咸的。","Semantic router selected GENERAL with score 0.68, margin 0.17 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"2","GENERAL","general","GENERAL","general","0.8","False","True","True","975","人工智能和传统自动化程序最核心的区别是什么？","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"3","GENERAL","general","GENERAL","general","0.71","False","True","True","1071","比较纸质书与电子书各自的优缺点。","Semantic router selected GENERAL with score 0.57, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"4","GENERAL","general","GENERAL","general","0.78","False","True","True","1331","为什么人在紧张时会感觉心跳加快？","Semantic router selected GENERAL with score 0.67, margin 0.15 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"5","GENERAL","general","GENERAL","general","0.74","False","True","True","1303","请概括互联网从诞生到普及的大致过程。","Semantic router selected GENERAL with score 0.57, margin 0.14 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"6","GENERAL","general","GENERAL","general","0.76","False","True","True","1398","如果要向小学生介绍区块链，你会怎么说？","Semantic router selected GENERAL with score 0.63, margin 0.11 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"7","GENERAL","general","GENERAL","general","0.71","False","True","True","995","分析远程办公对个人生活可能产生的影响。","Semantic router selected GENERAL with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"8","GENERAL","general","CODING","coding","0.71","False","True","False","1053","如何判断一条网络信息是否值得相信？","Semantic router selected CODING with score 0.58, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"9","GENERAL","general","GENERAL","general","0.72","False","True","True","979","请用三句话总结可持续发展的含义。","Semantic router selected GENERAL with score 0.54, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"10","GENERAL","general","DAILY","general","0.7","False","True","False","965","初次参加正式面试时应该注意哪些基本礼仪？","Semantic router selected DAILY with score 0.53, margin 0.04 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
