"Id","ExpectedTask","TopTask","TopTarget","TopSemanticScore","TopKeywordScore","TopFinalScore","SecondTask","SecondFinalScore","Margin","Status","ReasonCode","TopPassed","AcceptedAndPassed","LatencyMs","Question","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","GENERAL","general","0.57241490845301","0.166666666666667","0.531840084274376","FOLLOWUP","0.463549744147886","0.06829034012649","REJECTED","LOW_CONFIDENCE","True","False","675","请用通俗的方式说明为什么海水是咸的。","","localhost","95700ca5-e30e-4738-880d-641f9b70eb81","False","e7982cd0-f337-47cb-bd38-75132fae8773"
"2","GENERAL","GENERAL","general","0.517418818643933","0.166666666666667","0.482343603446206","CODING","0.412876912649019","0.0694666907971873","REJECTED","LOW_CONFIDENCE","True","False","804","人工智能和传统自动化程序最核心的区别是什么？","","localhost","854f13c8-05b3-497d-aab1-8d8b83f7113e","False","68ea019a-cf2d-436a-9950-94d93a794d28"
"3","GENERAL","GENERAL","general","0.478479040224243","0","0.430631136201819","LITERARY","0.422288518910525","0.00834261729129404","REJECTED","LOW_CONFIDENCE","True","False","760","比较纸质书与电子书各自的优缺点。","","localhost","5d1b9f1e-2c45-4c11-98df-241adf4f30ae","False","71eb4031-5d04-4894-9034-48e84d95e30f"
"4","GENERAL","FOLLOWUP","last-known","0.504297118577024","0","0.453867406719321","GENERAL","0.442897045723568","0.0109703609957539","REJECTED","LOW_CONFIDENCE","False","False","745","为什么人在紧张时会感觉心跳加快？","","localhost","e369645d-c2c1-47b6-9c12-6d50143115f1","False","024ae024-8d4e-4bfa-a73e-52527fdb120a"
"5","GENERAL","GENERAL","general","0.490390658583936","0","0.441351592725543","FOLLOWUP","0.393316842667248","0.0480347500582943","REJECTED","LOW_CONFIDENCE","True","False","686","请概括互联网从诞生到普及的大致过程。","","localhost","470c5cc0-36a1-41c2-a38a-6952fdcc453f","False","5e248c14-219b-48d2-ae5c-8fbbec2726d9"
"6","GENERAL","GENERAL","general","0.492213935366173","0.166666666666667","0.459659208496223","DAILY","0.454829080048499","0.00483012844772379","REJECTED","LOW_CONFIDENCE","True","False","841","如果要向小学生介绍区块链，你会怎么说？","","localhost","fddae35d-a8db-409a-8d27-0ee17bdc9951","False","4364d20c-ebeb-46e3-89bf-6d52a29472f4"
"7","GENERAL","DAILY","general","0.522476629864605","0","0.470228966878144","GENERAL","0.45899399260527","0.0112349742728738","REJECTED","LOW_CONFIDENCE","False","False","573","分析远程办公对个人生活可能产生的影响。","","localhost","95700ca5-e30e-4738-880d-641f9b70eb81","False","e7982cd0-f337-47cb-bd38-75132fae8773"
"8","GENERAL","GENERAL","general","0.533108350201621","0","0.479797515181459","FOLLOWUP","0.45819187735357","0.0216056378278897","REJECTED","LOW_CONFIDENCE","True","False","537","如何判断一条网络信息是否值得相信？","","localhost","854f13c8-05b3-497d-aab1-8d8b83f7113e","False","68ea019a-cf2d-436a-9950-94d93a794d28"
"9","GENERAL","FOLLOWUP","last-known","0.448830229105985","0","0.403947206195387","GENERAL","0.400116028942864","0.00383117725252297","REJECTED","LOW_CONFIDENCE","False","False","631","请用三句话总结可持续发展的含义。","","localhost","5d1b9f1e-2c45-4c11-98df-241adf4f30ae","False","71eb4031-5d04-4894-9034-48e84d95e30f"
"10","GENERAL","DAILY","general","0.479313360259159","0","0.431382024233243","GENERAL","0.412544755360584","0.0188372688726587","REJECTED","LOW_CONFIDENCE","False","False","485","初次参加正式面试时应该注意哪些基本礼仪？","","localhost","e369645d-c2c1-47b6-9c12-6d50143115f1","False","024ae024-8d4e-4bfa-a73e-52527fdb120a"
