"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.75","False","True","True","4470","我前面看了不少背景信息，但这次真正需要你直接处理的是：请解释为什么人们在面对不确定信息时更容易依赖熟悉的判断框架。","Semantic router selected GENERAL with score 0.64, margin 0.09 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","085c799f-44f5-47ba-b18d-c5ec7c4b468f","False","bc619465-87f6-46a9-a417-193da4bafd5e"
"2","GENERAL","general","GENERAL","general","0.75","False","True","True","4497","上下文里可能会提到别的话题，不过这次请只围绕这个明确请求回答：请解释为什么人们在面对不确定信息时更容易依赖熟悉的判断框架。","Semantic router selected GENERAL with score 0.64, margin 0.09 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","410df6f0-ff1e-4f9d-89f7-ffa759baafaa","False","15b79bb2-f0dc-478e-b327-cc87620767ad"
"3","GENERAL","general","GENERAL","general","0.75","False","True","True","4351","为了避免被前面的说明带偏，我把这次的核心需求单独写在最后：请解释为什么人们在面对不确定信息时更容易依赖熟悉的判断框架。","Semantic router selected GENERAL with score 0.64, margin 0.09 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","99a09e40-7329-4b3f-9dc8-6829012716c1","False","5a745cd7-b491-4a3b-815b-b3a1eb10333c"
"4","GENERAL","general","GENERAL","general","0.76","False","True","True","3717","我这两天一直在同时整理课程任务、项目笔记和生活安排，脑子里有很多互相干扰的信息，所以提问会写得比较长。但这一次你不用处理所有背景，只需要抓住最后这个明确目标并直接回答：请解释为什么人们在面对不确定信息时更容易依赖熟悉的判断框架。。如果理解了，就不要扩展到别的方向。","Semantic router selected GENERAL with score 0.65, margin 0.1 and confidence 0.76; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","f1d4c37c-8863-4598-894b-7e578f063abc","False","d87726f8-33f8-408e-9033-99135c8eda36"
"5","GENERAL","general","GENERAL","general","0.76","False","True","True","3361","为了更接近真实用户输入，我把背景说完整一点：前面可能会出现学习、开发、写作、数据或计划这些词，可它们都只是铺垫，不应该改变你对当前任务类型的判断。真正决定这次路由的是下面这句明确请求，请只围绕它作答：请解释为什么人们在面对不确定信息时更容易依赖熟悉的判断框架。，其余内容都可以忽略。","Semantic router selected GENERAL with score 0.66, margin 0.11 and confidence 0.76; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","e49626cd-a7e5-4f11-9f20-ab3ebcce6fea","False","28c68d40-fc2a-46c6-90eb-877345e29f38"
"6","GENERAL","general","GENERAL","general","0.7","False","True","True","3061","我前面看了不少背景信息，但这次真正需要你直接处理的是：请比较长期目标和短期目标分别适合什么样的现实情境。","Semantic router selected GENERAL with score 0.58, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","52f55f7b-526f-4fdc-9f01-d4fa2f882ca7","False","7d5a10eb-60ac-44a9-a4a0-36f48f30dd18"
"7","GENERAL","general","GENERAL","general","0.7","False","True","True","1036","上下文里可能会提到别的话题，不过这次请只围绕这个明确请求回答：请比较长期目标和短期目标分别适合什么样的现实情境。","Semantic router selected GENERAL with score 0.58, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","085c799f-44f5-47ba-b18d-c5ec7c4b468f","False","bc619465-87f6-46a9-a417-193da4bafd5e"
"8","GENERAL","general","GENERAL","general","0.7","False","True","True","1085","为了避免被前面的说明带偏，我把这次的核心需求单独写在最后：请比较长期目标和短期目标分别适合什么样的现实情境。","Semantic router selected GENERAL with score 0.58, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","410df6f0-ff1e-4f9d-89f7-ffa759baafaa","False","15b79bb2-f0dc-478e-b327-cc87620767ad"
"9","GENERAL","general","GENERAL","general","0.7","False","True","True","1202","我这两天一直在同时整理课程任务、项目笔记和生活安排，脑子里有很多互相干扰的信息，所以提问会写得比较长。但这一次你不用处理所有背景，只需要抓住最后这个明确目标并直接回答：请比较长期目标和短期目标分别适合什么样的现实情境。。如果理解了，就不要扩展到别的方向。","Semantic router selected GENERAL with score 0.56, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","99a09e40-7329-4b3f-9dc8-6829012716c1","False","5a745cd7-b491-4a3b-815b-b3a1eb10333c"
"10","GENERAL","general","GENERAL","general","0.69","False","True","True","1390","为了更接近真实用户输入，我把背景说完整一点：前面可能会出现学习、开发、写作、数据或计划这些词，可它们都只是铺垫，不应该改变你对当前任务类型的判断。真正决定这次路由的是下面这句明确请求，请只围绕它作答：请比较长期目标和短期目标分别适合什么样的现实情境。，其余内容都可以忽略。","Semantic router selected GENERAL with score 0.55, margin 0.0 and confidence 0.69; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","f1d4c37c-8863-4598-894b-7e578f063abc","False","d87726f8-33f8-408e-9033-99135c8eda36"
