"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.79","False","True","True","984","解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.69, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"2","GENERAL","general","GENERAL","general","0.77","False","True","True","1067","请只处理最后这个请求：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.69, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"3","GENERAL","general","GENERAL","general","0.78","False","True","True","1222","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.68, margin 0.14 and confidence 0.78; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"4","GENERAL","general","GENERAL","general","0.8","False","True","True","1224","不要被前面的技术名词和数字干扰，实际任务是：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"5","GENERAL","general","GENERAL","general","0.79","False","True","True","793","上文是一段程序和数学公式；换个任务：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.69, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"6","GENERAL","general","GENERAL","general","0.79","False","True","True","823","请在三句话内完成下面要求，不要扩展到其他领域：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.69, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"7","GENERAL","general","GENERAL","general","0.76","False","True","True","811","This is the actual request, unrelated to the quoted examples: 解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.64, margin 0.1 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"8","GENERAL","general","GENERAL","general","0.8","False","True","True","708","先忽略日程、代码、文学和计算示例，真正的问题是：解释为什么确认偏误会影响人的判断。","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"9","GENERAL","general","GENERAL","general","0.71","False","True","True","741","比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.56, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"10","GENERAL","general","GENERAL","general","0.71","False","True","True","903","请只处理最后这个请求：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.57, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"11","GENERAL","general","GENERAL","general","0.71","False","True","True","783","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.56, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"12","GENERAL","general","GENERAL","general","0.71","False","True","True","730","不要被前面的技术名词和数字干扰，实际任务是：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.57, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"13","GENERAL","general","GENERAL","general","0.71","False","True","True","790","上文是一段程序和数学公式；换个任务：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.56, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"14","GENERAL","general","GENERAL","general","0.71","False","True","True","817","请在三句话内完成下面要求，不要扩展到其他领域：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.56, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"15","GENERAL","general","GENERAL","general","0.71","False","True","True","773","This is the actual request, unrelated to the quoted examples: 比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.56, margin 0.04 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"16","GENERAL","general","GENERAL","general","0.71","False","True","True","990","先忽略日程、代码、文学和计算示例，真正的问题是：比较独处和社交对恢复精力的不同作用。","Semantic router selected GENERAL with score 0.57, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"17","GENERAL","general","GENERAL","general","0.72","False","True","True","718","说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.55, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"18","GENERAL","general","GENERAL","general","0.71","False","True","True","1081","请只处理最后这个请求：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.56, margin 0.04 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"19","GENERAL","general","GENERAL","general","0.7","False","True","True","831","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.53, margin 0.06 and confidence 0.7; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"20","GENERAL","general","GENERAL","general","0.73","False","True","True","975","不要被前面的技术名词和数字干扰，实际任务是：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.57, margin 0.1 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"21","GENERAL","general","GENERAL","general","0.72","False","True","True","637","上文是一段程序和数学公式；换个任务：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.55, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"22","GENERAL","general","GENERAL","general","0.72","False","True","True","753","请在三句话内完成下面要求，不要扩展到其他领域：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.55, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"23","GENERAL","general","GENERAL","general","0.74","False","True","True","1050","This is the actual request, unrelated to the quoted examples: 说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.6, margin 0.1 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"24","GENERAL","general","GENERAL","general","0.73","False","True","True","899","先忽略日程、代码、文学和计算示例，真正的问题是：说明公共图书馆对一座城市有什么价值。","Semantic router selected GENERAL with score 0.57, margin 0.1 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"25","GENERAL","general","GENERAL","general","0.77","False","True","True","816","为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.66, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"26","GENERAL","general","GENERAL","general","0.75","False","True","True","1090","请只处理最后这个请求：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.67, margin 0.06 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"27","GENERAL","general","GENERAL","general","0.76","False","True","True","893","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.66, margin 0.09 and confidence 0.76; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"28","GENERAL","general","GENERAL","general","0.77","False","True","True","742","不要被前面的技术名词和数字干扰，实际任务是：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.67, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"29","GENERAL","general","GENERAL","general","0.77","False","True","True","798","上文是一段程序和数学公式；换个任务：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.66, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"30","GENERAL","general","GENERAL","general","0.77","False","True","True","846","请在三句话内完成下面要求，不要扩展到其他领域：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.66, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"31","GENERAL","general","GENERAL","general","0.76","False","True","True","1037","This is the actual request, unrelated to the quoted examples: 为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.66, margin 0.1 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"32","GENERAL","general","GENERAL","general","0.77","False","True","True","1123","先忽略日程、代码、文学和计算示例，真正的问题是：为什么同一句建议对不同的人效果不同？","Semantic router selected GENERAL with score 0.67, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"33","GENERAL","general","GENERAL","general","0.8","False","True","True","1050","介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"34","GENERAL","general","GENERAL","general","0.78","False","True","True","1067","请只处理最后这个请求：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.69, margin 0.13 and confidence 0.78; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"35","GENERAL","general","GENERAL","general","0.79","False","True","True","1013","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.7, margin 0.15 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"36","GENERAL","general","GENERAL","general","0.79","False","True","True","858","不要被前面的技术名词和数字干扰，实际任务是：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.69, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"37","GENERAL","general","GENERAL","general","0.8","False","True","True","871","上文是一段程序和数学公式；换个任务：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"38","GENERAL","general","GENERAL","general","0.8","False","True","True","1029","请在三句话内完成下面要求，不要扩展到其他领域：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.7, margin 0.18 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"39","GENERAL","general","GENERAL","general","0.74","False","True","True","912","This is the actual request, unrelated to the quoted examples: 介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.63, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"40","GENERAL","general","GENERAL","general","0.79","False","True","True","782","先忽略日程、代码、文学和计算示例，真正的问题是：介绍消费者权益保护通常解决哪些问题。","Semantic router selected GENERAL with score 0.69, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"41","GENERAL","general","GENERAL","general","0.75","False","True","True","1089","评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"42","GENERAL","general","GENERAL","general","0.73","False","True","True","860","请只处理最后这个请求：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.62, margin 0.04 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"43","GENERAL","general","GENERAL","general","0.74","False","True","True","754","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.63, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"44","GENERAL","general","GENERAL","general","0.74","False","True","True","775","不要被前面的技术名词和数字干扰，实际任务是：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.64, margin 0.05 and confidence 0.74; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"45","GENERAL","general","GENERAL","general","0.75","False","True","True","1055","上文是一段程序和数学公式；换个任务：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"46","GENERAL","general","GENERAL","general","0.75","False","True","True","758","请在三句话内完成下面要求，不要扩展到其他领域：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"47","GENERAL","general","GENERAL","general","0.73","False","True","True","836","This is the actual request, unrelated to the quoted examples: 评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.61, margin 0.06 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"48","GENERAL","general","GENERAL","general","0.74","False","True","True","886","先忽略日程、代码、文学和计算示例，真正的问题是：评价长期目标是否一定优于短期目标。","Semantic router selected GENERAL with score 0.64, margin 0.05 and confidence 0.74; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"49","GENERAL","general","GENERAL","general","0.8","False","True","True","815","如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.73, margin 0.15 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"50","GENERAL","general","GENERAL","general","0.81","False","True","True","870","请只处理最后这个请求：如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.75, margin 0.14 and confidence 0.81; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
"51","GENERAL","general","GENERAL","general","0.8","False","True","True","864","有人刚才讨论了 Java 代码、小说、日程和概率，不过我现在只想问：如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.74, margin 0.15 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","cabc4fa3-fa63-49ba-ac46-fc660f3c23ef","False","a2b62436-f53d-42db-95c2-44af5884568e"
"52","GENERAL","general","GENERAL","general","0.8","False","True","True","978","不要被前面的技术名词和数字干扰，实际任务是：如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.74, margin 0.14 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","06bc3596-b091-42bf-8c22-4d6f2b47a498","False","3f4b7ef5-f79e-4539-a933-f38b1f3fd3f5"
"53","GENERAL","general","GENERAL","general","0.8","False","True","True","764","上文是一段程序和数学公式；换个任务：如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.73, margin 0.15 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","dc82aa91-f354-48a0-bf9a-b9791b9cbf5d","False","92c85d2d-486a-46e6-a587-d42d671fba0c"
"54","GENERAL","general","GENERAL","general","0.8","False","True","True","953","请在三句话内完成下面要求，不要扩展到其他领域：如何判断一段因果解释是否可靠？","Semantic router selected GENERAL with score 0.73, margin 0.15 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","","localhost","b1012532-394c-4ec8-a2e5-3fd72bc4b8c7","False","30eb953a-65a3-4719-8426-ef65e7248f5e"
