"Id","ConversationId","SeedExpectedTask","SeedActualTask","SeedPassed","FollowupExpectedTask","FollowupActualTask","FollowupModel","FollowupPassed","FollowupConfidence","FollowupReason","SeedQuestion","FollowupQuestion","Error"
"C01","20260716-235227252-0000000134","CODING","CODING","True","CODING","CODING","coding","True","0.86","Context-aware router inherited CODING from the previous turn; followupScore=0.86, semanticRoute=followup.","分析 Spring Boot 接口返回 500 的原因。","所以你有什么排查规划？",""
"C02","20260716-235241345-0000000135","CODING","CODING","True","CODING","CODING","coding","True","0.73","Context-aware router inherited CODING from the previous turn; followupScore=0.73, semanticRoute=followup.","解释这个 Java 空指针异常。","给出最小改动。",""
"C03","20260716-235251460-0000000136","CODING","CODING","True","CODING","CODING","coding","True","0.87","Context-aware router inherited CODING from the previous turn; followupScore=0.87, semanticRoute=followup.","设计一个消息分页接口。","精简描述。",""
"C04","20260716-235300592-0000000137","CODING","CODING","True","CODING","CODING","coding","True","0.97","Context-aware router inherited CODING from the previous turn; followupScore=0.97, semanticRoute=followup.","分析数据库查询变慢的原因。","继续说下去。",""
"C05","20260716-235315830-0000000138","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.81","Context-aware router inherited LITERARY from the previous turn; followupScore=0.81, semanticRoute=followup.","写一段雨夜车站的故事开头。","改得更克制一点。",""
"C06","20260716-235323083-0000000139","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.93","Context-aware router inherited LITERARY from the previous turn; followupScore=0.93, semanticRoute=followup.","分析这段散文的语言风格。","用一句话概括。",""
"C07","20260716-235334970-0000000140","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.82","Context-aware router inherited LITERARY from the previous turn; followupScore=0.82, semanticRoute=followup.","为咖啡店写一句宣传语。","再短一点。",""
"C08","20260716-235340153-0000000141","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.97","Context-aware router inherited LITERARY from the previous turn; followupScore=0.97, semanticRoute=followup.","构思一个关于旧照片的故事。","然后呢？",""
"C09","20260716-235347480-0000000142","MATH","MATH","True","MATH","MATH","math","True","0.87","Context-aware router inherited MATH from the previous turn; followupScore=0.87, semanticRoute=followup.","求解方程 2x+3=11。","为什么是这个结果？",""
"C10","20260716-235351538-0000000143","MATH","MATH","True","MATH","MATH","math","True","0.76","Context-aware router inherited MATH from the previous turn; followupScore=0.76, semanticRoute=followup.","计算抛三次硬币两次正面的概率。","换一种方法说明。",""
"C11","20260716-235357245-0000000144","MATH","MATH","True","MATH","MATH","math","True","0.73","Semantic router selected MATH with score 0.65, margin 0.0 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","求函数 x² 的导数。","只保留最终结果。",""
"C12","20260716-235402383-0000000145","MATH","MATH","True","MATH","MATH","math","True","0.77","Semantic router selected MATH with score 0.75, margin 0.01 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","证明奇数的平方仍是奇数。","精简证明过程。",""
"C13","20260716-235405995-0000000146","DAILY","DAILY","True","DAILY","DAILY","general","True","0.81","Semantic router selected DAILY with score 0.83, margin 0.07 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","安排我明天上午的学习任务。","调整得轻松一点。",""
"C14","20260716-235420063-0000000147","DAILY","DAILY","True","DAILY","DAILY","general","True","0.76","Context-aware router inherited DAILY from the previous turn; followupScore=0.76, semanticRoute=followup.","给我一份旅行前检查清单。","再补充两个事项。",""
"C15","20260716-235434396-0000000148","DAILY","DAILY","True","DAILY","DAILY","general","True","0.75","Context-aware router inherited DAILY from the previous turn; followupScore=0.75, semanticRoute=followup.","帮我安排今晚的复习和运动。","所以先做什么？",""
"C16","20260716-235450384-0000000149","DAILY","DAILY","True","DAILY","DAILY","general","True","0.83","Context-aware router inherited DAILY from the previous turn; followupScore=0.83, semanticRoute=followup.","制定一周早起方案。","简单一点。",""
"C17","20260716-235505976-0000000150","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.7","Context-aware router inherited GENERAL from the previous turn; followupScore=0.7, semanticRoute=general.","解释什么是机会成本。","举个更简单的例子。",""
"C18","20260716-235519813-0000000151","GENERAL","LITERARY","False","GENERAL","LITERARY","literary","False","0.86","Context-aware router inherited LITERARY from the previous turn; followupScore=0.86, semanticRoute=followup.","比较纸质书和电子书。","总结成一句话。",""
"C19","20260716-235529870-0000000152","CODING","CODING","True","LITERARY","LITERARY","literary","True","0.74","Semantic router selected LITERARY with score 0.61, margin 0.09 and confidence 0.74; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","分析一段 Java 程序。","现在换个任务，写一首关于程序员的诗。",""
"C20","20260716-235533880-0000000153","LITERARY","LITERARY","True","GENERAL","GENERAL","general","True","0.9","Semantic router selected GENERAL with score 0.88, margin 0.3 and confidence 0.9; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","写一个机器人故事。","现在不要续写，解释人工智能是什么。",""
"C21","20260716-235603947-0000000154","CODING","CODING","True","CODING","CODING","coding","True","0.74","Context-aware router inherited CODING from the previous turn; followupScore=0.74, semanticRoute=followup.","分析一个线程安全问题。","再给一个更简单的修复方法。",""
"C22","20260716-235617826-0000000155","CODING","CODING","True","CODING","CODING","coding","True","0.72","Context-aware router inherited CODING from the previous turn; followupScore=0.72, semanticRoute=followup.","设计一个文件上传接口。","把上面的设计压缩成三点。",""
"C23","20260716-235626662-0000000156","CODING","CODING","True","DAILY","DAILY","general","True","0.84","Semantic router selected DAILY with score 0.84, margin 0.14 and confidence 0.84; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","解释事务为什么会回滚。","现在换个话题，安排我今晚的复习。",""
