"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0","True","False","True","674","请用通俗的方式说明为什么海水是咸的。","No routing signals were found. Using fallback model.","","localhost","122a7cd8-0843-4264-a854-9ccabdfda1f1","False","e9d3a0d0-621b-4fe9-845c-6054d9428e7e"
"2","GENERAL","general","GENERAL","general","0","True","False","True","866","人工智能和传统自动化程序最核心的区别是什么？","No routing signals were found. Using fallback model.","","localhost","8e05078b-8c55-4bd3-9962-35b5fabb78d1","False","2a1919d1-c109-447c-b831-5e2b240d3cc6"
"3","GENERAL","general","GENERAL","general","0","True","False","True","745","比较纸质书与电子书各自的优缺点。","No routing signals were found. Using fallback model.","","localhost","e2cfe57e-48f9-4a3d-8a08-3c916e02bacf","False","8b3339be-8c8b-4c5a-b4c8-a8bf5cb7abf7"
"4","GENERAL","general","GENERAL","general","0","True","False","True","616","为什么人在紧张时会感觉心跳加快？","No routing signals were found. Using fallback model.","","localhost","122a7cd8-0843-4264-a854-9ccabdfda1f1","False","e9d3a0d0-621b-4fe9-845c-6054d9428e7e"
"5","GENERAL","general","GENERAL","general","0","True","False","True","482","请概括互联网从诞生到普及的大致过程。","No routing signals were found. Using fallback model.","","localhost","8e05078b-8c55-4bd3-9962-35b5fabb78d1","False","2a1919d1-c109-447c-b831-5e2b240d3cc6"
"6","GENERAL","general","GENERAL","general","0","True","False","True","437","如果要向小学生介绍区块链，你会怎么说？","No routing signals were found. Using fallback model.","","localhost","e2cfe57e-48f9-4a3d-8a08-3c916e02bacf","False","8b3339be-8c8b-4c5a-b4c8-a8bf5cb7abf7"
"7","GENERAL","general","GENERAL","general","0","True","False","True","532","分析远程办公对个人生活可能产生的影响。","No routing signals were found. Using fallback model.","","localhost","122a7cd8-0843-4264-a854-9ccabdfda1f1","False","e9d3a0d0-621b-4fe9-845c-6054d9428e7e"
"8","GENERAL","general","GENERAL","general","0","True","False","True","433","如何判断一条网络信息是否值得相信？","No routing signals were found. Using fallback model.","","localhost","8e05078b-8c55-4bd3-9962-35b5fabb78d1","False","2a1919d1-c109-447c-b831-5e2b240d3cc6"
"9","GENERAL","general","GENERAL","general","0","True","False","True","409","请用三句话总结可持续发展的含义。","No routing signals were found. Using fallback model.","","localhost","e2cfe57e-48f9-4a3d-8a08-3c916e02bacf","False","8b3339be-8c8b-4c5a-b4c8-a8bf5cb7abf7"
"10","GENERAL","general","GENERAL","general","0","True","False","True","432","初次参加正式面试时应该注意哪些基本礼仪？","No routing signals were found. Using fallback model.","","localhost","122a7cd8-0843-4264-a854-9ccabdfda1f1","False","e9d3a0d0-621b-4fe9-845c-6054d9428e7e"
"11","GENERAL","general","GENERAL","general","0","True","False","True","387","为什么良好的睡眠会影响第二天的注意力？","No routing signals were found. Using fallback model.","","localhost","8e05078b-8c55-4bd3-9962-35b5fabb78d1","False","2a1919d1-c109-447c-b831-5e2b240d3cc6"
"12","GENERAL","general","GENERAL","general","0","True","False","True","372","请说明开源软件通常是怎样运作的。","No routing signals were found. Using fallback model.","","localhost","e2cfe57e-48f9-4a3d-8a08-3c916e02bacf","False","8b3339be-8c8b-4c5a-b4c8-a8bf5cb7abf7"
