"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"1","GENERAL","general","GENERAL","general","0.8","False","True","True","551","请用通俗的方式说明为什么海水是咸的。","Semantic router selected GENERAL with score 0.68, margin 0.21 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","6e9eaced-793d-4ecc-af96-8a799337c371","False","c1d98fd7-d002-4aa8-bf6b-bf35589c8203"
"2","GENERAL","general","GENERAL","general","0.83","False","True","True","788","人工智能和传统自动化程序最核心的区别是什么？","Semantic router selected GENERAL with score 0.74, margin 0.24 and confidence 0.83; status=ROUTED, reason=ACCEPTED.","","localhost","10e36238-ebfa-4b1f-bb7a-7ebeb8576f3f","False","187f432c-56aa-4fcb-bcc0-8121eafc734f"
"3","GENERAL","general","GENERAL","general","0.71","False","True","True","977","比较纸质书与电子书各自的优缺点。","Semantic router selected GENERAL with score 0.57, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","56f96b77-3e63-4d4a-96eb-8fe99cf20cc0","False","9fbe14fb-0b76-4d49-8291-114e394e8e74"
"4","GENERAL","general","GENERAL","general","0.71","False","True","True","965","为什么人在紧张时会感觉心跳加快？","Semantic router selected GENERAL with score 0.57, margin 0.04 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","1c6c6a28-51bf-42c5-a87d-597d50dd8b42","False","bc9d4fd1-692f-4a96-bc28-fdf5415ee9ab"
"5","GENERAL","general","GENERAL","general","0.71","False","True","True","911","请概括互联网从诞生到普及的大致过程。","Semantic router selected GENERAL with score 0.52, margin 0.08 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","c8520ea2-7869-4924-9a65-dfef89021bad","False","f3a3904c-3aa7-44fd-badc-bb99b224420f"
"6","GENERAL","general","GENERAL","general","0.73","False","True","True","1069","如果要向小学生介绍区块链，你会怎么说？","Semantic router selected GENERAL with score 0.6, margin 0.07 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","70fd3252-7444-47b8-bfc0-f43b8eb81124","False","05335508-8419-4161-9de8-81f6bce326b1"
"7","GENERAL","general","DAILY","general","0.73","False","True","False","825","分析远程办公对个人生活可能产生的影响。","Semantic router selected DAILY with score 0.58, margin 0.07 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","6e9eaced-793d-4ecc-af96-8a799337c371","False","c1d98fd7-d002-4aa8-bf6b-bf35589c8203"
"8","GENERAL","general","GENERAL","general","0","True","False","True","657","如何判断一条网络信息是否值得相信？","No routing signals were found. Using fallback model.","","localhost","10e36238-ebfa-4b1f-bb7a-7ebeb8576f3f","False","187f432c-56aa-4fcb-bcc0-8121eafc734f"
"9","GENERAL","general","GENERAL","general","0.72","False","True","True","875","请用三句话总结可持续发展的含义。","Semantic router selected GENERAL with score 0.53, margin 0.1 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","56f96b77-3e63-4d4a-96eb-8fe99cf20cc0","False","9fbe14fb-0b76-4d49-8291-114e394e8e74"
"10","GENERAL","general","GENERAL","general","0","True","False","True","823","初次参加正式面试时应该注意哪些基本礼仪？","No routing signals were found. Using fallback model.","","localhost","1c6c6a28-51bf-42c5-a87d-597d50dd8b42","False","bc9d4fd1-692f-4a96-bc28-fdf5415ee9ab"
