"Id","ConversationId","SeedExpectedTask","SeedActualTask","SeedPassed","FollowupExpectedTask","FollowupActualTask","FollowupModel","FollowupPassed","FollowupConfidence","FollowupReason","SeedQuestion","FollowupQuestion","Error"
"C01","20260716-204033657-0000000012","CODING","CODING","True","CODING","CODING","coding","True","0.86","Context-aware router inherited CODING from the previous turn; followupScore=0.86, semanticRoute=followup.","分析 Spring Boot 接口返回 500 的原因。","所以你有什么排查规划？",""
"C02","20260716-204049443-0000000013","CODING","CODING","True","CODING","CODING","coding","True","0.73","Context-aware router inherited CODING from the previous turn; followupScore=0.73, semanticRoute=followup.","解释这个 Java 空指针异常。","给出最小改动。",""
"C03","20260716-204059449-0000000014","CODING","CODING","True","CODING","CODING","coding","True","0.87","Context-aware router inherited CODING from the previous turn; followupScore=0.87, semanticRoute=followup.","设计一个消息分页接口。","精简描述。",""
"C04","20260716-204109298-0000000015","CODING","CODING","True","CODING","CODING","coding","True","0.97","Context-aware router inherited CODING from the previous turn; followupScore=0.97, semanticRoute=followup.","分析数据库查询变慢的原因。","继续说下去。",""
"C05","20260716-204123309-0000000016","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.81","Context-aware router inherited LITERARY from the previous turn; followupScore=0.81, semanticRoute=followup.","写一段雨夜车站的故事开头。","改得更克制一点。",""
"C06","20260716-204132409-0000000017","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.93","Context-aware router inherited LITERARY from the previous turn; followupScore=0.93, semanticRoute=followup.","分析这段散文的语言风格。","用一句话概括。",""
"C07","20260716-204135603-0000000018","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.82","Context-aware router inherited LITERARY from the previous turn; followupScore=0.82, semanticRoute=followup.","为咖啡店写一句宣传语。","再短一点。",""
"C08","","LITERARY","ERROR","False","LITERARY","ERROR","ERROR","False","0","","构思一个关于旧照片的故事。","然后呢？","The remote server returned an error: (502) Bad Gateway."
"C09","20260716-204154300-0000000020","MATH","MATH","True","MATH","MATH","math","True","0.87","Context-aware router inherited MATH from the previous turn; followupScore=0.87, semanticRoute=followup.","求解方程 2x+3=11。","为什么是这个结果？",""
"C10","20260716-204158089-0000000021","MATH","MATH","True","MATH","MATH","math","True","0.76","Context-aware router inherited MATH from the previous turn; followupScore=0.76, semanticRoute=followup.","计算抛三次硬币两次正面的概率。","换一种方法说明。",""
"C11","20260716-204203952-0000000022","MATH","MATH","True","MATH","MATH","math","True","0.74","Semantic router selected MATH with score 0.67, margin 0.02 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","求函数 x² 的导数。","只保留最终结果。",""
"C12","20260716-204209900-0000000023","MATH","MATH","True","MATH","MATH","math","True","0.78","Semantic router selected MATH with score 0.78, margin 0.04 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","证明奇数的平方仍是奇数。","精简证明过程。",""
"C13","20260716-204214021-0000000024","DAILY","DAILY","True","DAILY","DAILY","general","True","0.88","Semantic router selected DAILY with score 0.93, margin 0.17 and confidence 0.88; status=ROUTED, reason=ACCEPTED.","安排我明天上午的学习任务。","调整得轻松一点。",""
"C14","20260716-204224328-0000000025","DAILY","DAILY","True","DAILY","DAILY","general","True","0.76","Context-aware router inherited DAILY from the previous turn; followupScore=0.76, semanticRoute=followup.","给我一份旅行前检查清单。","再补充两个事项。",""
"C15","20260716-204238637-0000000026","DAILY","DAILY","True","DAILY","DAILY","general","True","0.75","Context-aware router inherited DAILY from the previous turn; followupScore=0.75, semanticRoute=followup.","帮我安排今晚的复习和运动。","所以先做什么？",""
"C16","","DAILY","ERROR","False","DAILY","ERROR","ERROR","False","0","","制定一周早起方案。","简单一点。","The remote server returned an error: (502) Bad Gateway."
"C17","20260716-204303894-0000000028","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.84","Semantic router selected GENERAL with score 0.85, margin 0.15 and confidence 0.84; status=ROUTED, reason=ACCEPTED.","解释什么是机会成本。","举个更简单的例子。",""
"C18","20260716-204312662-0000000029","GENERAL","LITERARY","False","GENERAL","LITERARY","literary","False","0.86","Context-aware router inherited LITERARY from the previous turn; followupScore=0.86, semanticRoute=followup.","比较纸质书和电子书。","总结成一句话。",""
"C19","20260716-204328106-0000000030","CODING","CODING","True","LITERARY","CODING","coding","False","0.73","Semantic router selected CODING with score 0.63, margin 0.04 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","分析一段 Java 程序。","现在换个任务，写一首关于程序员的诗。",""
"C20","","LITERARY","ERROR","False","GENERAL","ERROR","ERROR","False","0","","写一个机器人故事。","现在不要续写，解释人工智能是什么。","The remote server returned an error: (502) Bad Gateway."
