"Id","ExpectedTask","ActualTask","Confidence","FallbackUsed","Question","Reason"
"10","GENERAL","DAILY","0.7","False","初次参加正式面试时应该注意哪些基本礼仪？","Semantic router selected DAILY with score 0.53, margin 0.04 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"12","GENERAL","CODING","0.71","False","请说明开源软件通常是怎样运作的。","Semantic router selected CODING with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED."
"20","GENERAL","DAILY","0.7","False","如果只能保留一个好习惯，你认为哪个最值得保留？","Semantic router selected DAILY with score 0.56, margin 0.03 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"75","CODING","GENERAL","0.68","False","请说明乐观锁和悲观锁分别适合什么场景。","Semantic router selected GENERAL with score 0.5, margin 0.02 and confidence 0.68; status=ROUTED, reason=ACCEPTED."
"127","GENERAL","DAILY","0.72","False","一次好的复盘应该回答哪些问题？","Semantic router selected DAILY with score 0.62, margin 0.03 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"137","GENERAL","CODING","0.69","False","如何看待失败经历对个人成长的作用？","Semantic router selected CODING with score 0.54, margin 0.02 and confidence 0.69; status=ROUTED, reason=ACCEPTED."
"140","GENERAL","DAILY","0.72","False","怎样判断一个目标是否过于模糊？","Semantic router selected DAILY with score 0.61, margin 0.03 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"150","GENERAL","LITERARY","0.68","False","只回复一句话：什么叫长期主义？","Semantic router selected LITERARY with score 0.51, margin 0.02 and confidence 0.68; status=ROUTED, reason=ACCEPTED."
"174","DAILY","LITERARY","0.72","False","三天后需要交论文，现在只有标题，接下来怎么推进？","Semantic router selected LITERARY with score 0.63, margin 0.0 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"224","LITERARY","GENERAL","0.75","False","把产品介绍改得有温度，但不要夸张。","Semantic router selected GENERAL with score 0.68, margin 0.04 and confidence 0.75; status=ROUTED, reason=ACCEPTED."
"235","LITERARY","GENERAL","0.75","False","分析留白为什么能增强某些情感表达。","Semantic router selected GENERAL with score 0.69, margin 0.04 and confidence 0.75; status=ROUTED, reason=ACCEPTED."
"252","CODING","MATH","0.71","False","如何保证重复提交同一个请求不会创建两条数据？","Semantic router selected MATH with score 0.58, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"275","CODING","MATH","0.72","False","如何测试并发请求下的自增序列是否唯一？","Semantic router selected MATH with score 0.58, margin 0.04 and confidence 0.72; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"276","CODING","GENERAL","0.73","False","为什么浮点数不适合直接表示金额？","Semantic router selected GENERAL with score 0.61, margin 0.07 and confidence 0.73; status=ROUTED, reason=ACCEPTED."
"284","CODING","DAILY","0.72","False","怎样在不重启服务的情况下重新加载配置？","Semantic router selected DAILY with score 0.62, margin 0.02 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"367","LITERARY","DAILY","0.7","False","将“按时完成所有事项”改成适合海报的句子。","Semantic router selected DAILY with score 0.58, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"371","CODING","MATH","0.79","False","如何用程序计算刚才那个概率问题？","Semantic router selected MATH with score 0.74, margin 0.1 and confidence 0.79; status=ROUTED, reason=ACCEPTED."
"373","CODING","LITERARY","0.71","False","这不是语言润色问题，我需要修复字符串替换后的乱码。","Semantic router selected LITERARY with score 0.59, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED."
"375","MATH","DAILY","0.71","False","不需要安排复习，请直接算每天完成二十页需要几天读完三百页。","Semantic router selected DAILY with score 0.61, margin 0.0 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"384","GENERAL","LITERARY","0.7","False","一场有效的公开讨论需要遵守哪些基本原则？","Semantic router selected LITERARY with score 0.54, margin 0.03 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"450","CODING","GENERAL","0.72","False","怎样记录外部模型请求耗时又不泄露请求内容？","Semantic router selected GENERAL with score 0.62, margin 0.0 and confidence 0.72; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"485","GENERAL","LITERARY","0.71","False","对一个观点保持开放态度意味着什么？","Semantic router selected LITERARY with score 0.58, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED."
"486","GENERAL","LITERARY","0.71","False","请比较口头沟通和书面沟通的特点。","Semantic router selected LITERARY with score 0.59, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED."
